"","Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Date","Altitude"
"87","NGRDI",8.59482681384134,0.0155660944050076,4.22089665774637,0.573777179694102,0.0144681014056384,"2022-02-14","15m"
"88","NGRDIveg",7.61323367610638,2.30503735330543,2.44948143516148,29.3458362905124,0.364518425596174,"2022-02-14","15m"
"89","TGI",7.8672120868219,3.5375487734599,3.34180448292496,7.1768628279907,0.187573744292474,"2022-02-14","15m"
"90","TGIveg",3.48577468958971,26.3628857086986,1.47340049996779,0.825044431256009,49.0217354792791,"2022-02-14","15m"
"91","Intensity",7.00334225086579,1.37317152504415,12.7010244657499,14.445240092048,4.65265816756812,"2022-02-14","50m"
"92","Hue",10.0698388593513,0.0314755501177441,1.4078172305359,6.28990463951229,1.18391753127636,"2022-02-14","50m"
"93","Saturation",5.58811306314401,4.53387442467113,25.4985227334645,0.628182921750586,0.00368832715949503,"2022-02-14","50m"
"94","Lightness",7.00553808853903,1.03921427564532,11.64128340134,15.5581025270772,6.82788043967719,"2022-02-14","50m"
"95","a.",9.94694935154473,0.141571847536429,0.6900751973684,0.026903339610244,10.8904283534057,"2022-02-14","50m"
"96","b.",8.14492242263814,2.23584861332169,10.4112964177033,2.96163922012274,3.38033028808652,"2022-02-14","50m"
"97","u.",10.2224807597256,0.0119326348195539,1.68828418712304,0.867181124888023,4.85556816793401,"2022-02-14","50m"
"98","v.",8.50205379227799,1.38405869634207,3.58437486585367,8.2063826725372,9.85784713450021,"2022-02-14","50m"
"99","GA",8.75326896539658,0.416791558446575,4.71288471785352,8.77957578696222,0.235892695145374,"2022-02-14","50m"
"100","GGA",5.20599215715846,1.95978411771114,4.15213011228668,35.4154303341582,16.8251381239458,"2022-02-14","50m"
"101","CSI",0.0380771378104073,28.5541127936624,11.9168493193611,0.201032194778173,0.545409914216831,"2022-02-14","50m"
"102","NGRDI",10.3027770119778,0.016430569910099,1.08134237177569,0.191893635662987,5.95817355471216,"2022-02-14","50m"
"103","NGRDIveg",2.58567766362563,21.3661142303919,4.47153947579931,4.79049612524156,7.36834689905201,"2022-02-14","50m"
"104","TGI",6.62988004262493,4.19441452870849,5.835998263929,0.00180261280129117,27.2078859869704,"2022-02-14","50m"
"105","TGIveg",0.00108843331971126,32.7412046336714,0.206577239856011,1.63623277284919,0.206834416349952,"2022-02-14","50m"
"106","Intensity",5.99022401040134,2.05637742952361,29.4600847677061,0.729093308866964,1.28052905987851,"2022-02-14","ground"
"107","Hue",2.39635026979669,15.3528113476537,0.180408273039751,11.3850382069181,0.240040947333288,"2022-02-14","ground"
"108","Saturation",4.65325102305079,7.2278148915097,20.0053786679058,0.664746779169097,2.4788574528605,"2022-02-14","ground"
"109","Lightness",6.04425239168356,2.83614331427215,26.8080427106037,0.56383862614834,1.55216925479785,"2022-02-14","ground"
"110","a.",10.9718041320048,0.931579092682354,5.74890320807158,2.8425631905759,0.0278951191183151,"2022-02-14","ground"
"111","b.",7.04229573206005,9.66148409788034,0.265633738819412,0.180825259828922,3.13497522934025,"2022-02-14","ground"
"112","u.",12.1725467693163,0.594545570649,1.55327471232429,0.995563867825687,0.616279047859989,"2022-02-14","ground"
"113","v.",6.62072056673456,10.2161980187372,0.715171985599061,0.17154139932178,3.24903822892887,"2022-02-14","ground"
